key	file	line	en	zh-TW	zh-CN	raw
calendar.today	Components/CalendarReader.cs	115	, today	，今天	，今天	
calendar.event	Components/CalendarReader.cs	137	, event	，有事件	，有事件	
weather.forecast_intro	Components/WeatherNews.cs	64	Seven day forecast. J and L to browse.	七天天氣預報。按 J 和 L 瀏覽。	七天天气预报。按 J 和 L 浏览。	
weather.unavailable	Components/WeatherNews.cs	85	Forecast unavailable.	無法取得預報。	无法获取预报。	
field.date_announce	Components/FieldTracker.cs	3438;3441;3445	{0}, {1}, {2}	{0}，{1}，{2}	{0}，{1}，{2}	FormatDate + ", {weather}" + ", {period}"
field.date_format	Components/FieldTracker.cs	6421	{0} {1}, {2}	{0}{1}日，{2}	{0}{1}日，{2}	$"{date:MMMM d}, {date.DayOfWeek}"
field.forecast_line	Components/FieldTracker.cs	6410	{0}, {1} {2}. {3}.	{0}，{1}{2}日。{3}。	{0}，{1}{2}日。{3}。	$"{date.DayOfWeek}, {date:MMMM d}. {w}."
field.time.early_morning	Components/FieldTracker.cs	6373	Early Morning	清晨	清晨	
field.time.morning	Components/FieldTracker.cs	6374	Morning	早上	早上	
field.time.lunchtime	Components/FieldTracker.cs	6375	Lunchtime	午休	午休	
field.time.daytime	Components/FieldTracker.cs	6376	Daytime	白天	白天	
field.time.after_school	Components/FieldTracker.cs	6377	After School	放學後	放学后	
field.time.evening	Components/FieldTracker.cs	6378	Evening	傍晚	傍晚	
field.time.night	Components/FieldTracker.cs	6379	Night	夜晚	夜晚	
field.time.late_night	Components/FieldTracker.cs	6380	Late Night	深夜	深夜	
field.time.period_n	Components/FieldTracker.cs	6381	Time period {0}	時段 {0}	时段 {0}	$"Time period {period}"
field.status_line	Components/FieldTracker.cs	3678-3681	{0}, {1}, {2}, {3}	{0}，{1}，{2}，{3}	{0}，{1}，{2}，{3}	$"{date}, {time}, {weather}, {area}"
field.not_in_area	Components/FieldTracker.cs;Components/Navigation/NavigationAssist.cs	3660;248	Not in a field area.	不在場景區域內。	不在场景区域内。	
field.position_unavailable	Components/FieldTracker.cs;Components/Navigation/DungeonCursor.cs;Components/Navigation/DungeonNav.cs;Components/Navigation/OverworldNav.cs;Components/Navigation/AutoWalk/AutoWalker.cs	1555;210;741;944;1716	Position unavailable.	無法取得位置。	无法获取位置。	
field.facing_unavailable	Components/FieldTracker.cs	1557;1631	Facing unavailable.	無法取得朝向。	无法获取朝向。	
field.collision_unavailable	Components/FieldTracker.cs	1633	Collision unavailable.	無法取得碰撞資訊。	无法获取碰撞信息。	
field.cardinal_open	Components/FieldTracker.cs	1648	{0} open	{0}暢通	{0}畅通	$"{n} open"
field.cardinals	Components/FieldTracker.cs	1649	Ahead {0}, behind {1}, left {2}, right {3}.	前方{0}，後方{1}，左邊{2}，右邊{3}。	前方{0}，后方{1}，左边{2}，右边{3}。	$"{Part("Ahead", dA)}, {Part("behind", dB)}, {Part("left", dL)}, {Part("right", dR)}."
field.nsew	Components/FieldTracker.cs	3881	N {0}, S {1}, E {2}, W {3}	北{0}，南{1}，東{2}，西{3}	北{0}，南{1}，东{2}，西{3}	$"N {FSpoken(dN)}, S {FSpoken(dS)}, E {FSpoken(dE)}, W {FSpoken(dW)}"
field.dist_none	Components/FieldTracker.cs	3885	none	無	无	
treasure.count_nearest	Components/FieldTracker.cs	2080	{0} treasures on floor. Nearest {1} steps {2}.	這層有 {0} 個寶箱，最近的在{2} {1} 步。	这层有 {0} 个宝箱，最近的在{2} {1} 步。	$"{populated} treasure{(populated == 1 ? "" : "s")} on floor. Nearest {steps} step{(steps == 1 ? "" : "s")} {dir}."
treasure.none	Components/FieldTracker.cs	2084;2152;2363	No treasures on this floor.	這層沒有寶箱。	这层没有宝箱。	
treasure.teleport_dungeon_only	Components/FieldTracker.cs	2115	Treasure teleport only works in dungeons.	寶箱傳送只能在迷宮使用。	宝箱传送只能在迷宫使用。	
treasure.teleport_only_dungeon	Components/FieldTracker.cs	2324	Teleport only works in dungeons.	傳送只能在迷宮使用。	传送只能在迷宫使用。	
treasure.array_unreadable	Components/FieldTracker.cs	1952;2120;2330	Treasure array unreadable.	無法讀取寶箱資料。	无法读取宝箱数据。	
treasure.player_pos_unavailable	Components/FieldTracker.cs	2127;2338;2510	Player position unavailable.	無法取得玩家位置。	无法获取玩家位置。	
treasure.teleported	Components/FieldTracker.cs	2226	Teleported to treasure {0} steps away.	已傳送到 {0} 步外的寶箱。	已传送到 {0} 步外的宝箱。	$"Teleported to treasure {steps} steps away."
treasure.at_chest	Components/FieldTracker.cs	2461	At chest, {0} steps away. Press Enter now.	已到寶箱旁，{0} 步。現在按 Enter。	已到宝箱旁，{0} 步。现在按 Enter。	$"At chest, {announceSteps} steps away. Press Enter now."
check.prefix	Components/CheckLabel.cs;Components/FieldTracker.cs	105;3501	Check: {0}	調查：{0}	调查：{0}	$"Check: {s}"
check.plain	Components/FieldTracker.cs	3501	Check	調查	调查	
area.choose_where	Components/FieldTracker.cs	5896	Choose where to go	選擇要去哪裡	选择要去哪里	
area.school_front	Components/FieldTracker.cs	5899	School, Front Entrance	學校，正門	学校，正门	
area.school_hallway	Components/FieldTracker.cs	5900	School Hallway	學校走廊	学校走廊	
area.school_hallway_2f	Components/FieldTracker.cs	5901	School Hallway, Second Floor	學校走廊，二樓	学校走廊，二楼	
area.school_courtyard	Components/FieldTracker.cs	5902	School Courtyard	學校中庭	学校中庭	
area.classroom_2_2	Components/FieldTracker.cs	5903	Classroom 2-2	2年2班教室	2年2班教室	
area.classroom_2_1	Components/FieldTracker.cs	5904	Classroom 2-1	2年1班教室	2年1班教室	
area.classroom_2_3	Components/FieldTracker.cs	5905	Classroom 2-3	2年3班教室	2年3班教室	
area.school_library	Components/FieldTracker.cs	5906	School Library	學校圖書室	学校图书室	
area.school_gym	Components/FieldTracker.cs	5907	School Gym	學校體育館	学校体育馆	
area.home_ec_room	Components/FieldTracker.cs	5908	Home Economics Room	家政教室	家政教室	
area.practice_building	Components/FieldTracker.cs	5909	Practice Building	實習大樓	实习楼	
area.school_rooftop	Components/FieldTracker.cs	5910	School Rooftop	學校頂樓	学校天台	
area.school_gate	Components/FieldTracker.cs	5911	School Gate	校門	校门	
area.yasogami_n	Components/FieldTracker.cs	5912	Yasogami High, Area {0}	八十神高中，區域 {0}	八十神高中，区域 {0}	$"Yasogami High, Area {minor}"
area.dojima	Components/FieldTracker.cs	5916	Dojima Residence	堂島家	堂岛家	
area.dojima_living	Components/FieldTracker.cs	5917	Dojima Residence, Living Room	堂島家，客廳	堂岛家，客厅	
area.your_room	Components/FieldTracker.cs	5918	Your Room	你的房間	你的房间	
area.dojima_hallway	Components/FieldTracker.cs	5919	Dojima Residence, Hallway	堂島家，走廊	堂岛家，走廊	
area.dojima_n	Components/FieldTracker.cs	5920	Dojima Residence, Area {0}	堂島家，區域 {0}	堂岛家，区域 {0}	$"Dojima Residence, Area {minor}"
area.shopping_north	Components/FieldTracker.cs	5924	Shopping District, North	商店街，北側	商店街，北侧	
area.shopping_south	Components/FieldTracker.cs	5925	Shopping District, South	商店街，南側	商店街，南侧	
area.velvet_room	Components/FieldTracker.cs	5926	Velvet Room	天鵝絨房間	天鹅绒房间	
area.daidara_outside	Components/FieldTracker.cs	5927	Daidara Metalworks, Outside	大達金屬工房，外面	大达金属工房，外面	
area.daidara_inside	Components/FieldTracker.cs	5928	Daidara Metalworks, Inside	大達金屬工房，裡面	大达金属工房，里面	
area.shopping_alley	Components/FieldTracker.cs	5929	Shopping District, Side Alley	商店街，小巷	商店街，小巷	
area.tatsuhime	Components/FieldTracker.cs	5931	Tatsuhime Shrine	辰姬神社	辰姬神社	
area.shopping_n	Components/FieldTracker.cs	5932	Shopping District, Area {0}	商店街，區域 {0}	商店街，区域 {0}	$"Shopping District, Area {minor}"
area.junes_food_court	Components/FieldTracker.cs	5936	Junes, Food Court	Junes，美食廣場	Junes，美食广场	
area.junes_entrance	Components/FieldTracker.cs	5937	Junes, Entrance	Junes，入口	Junes，入口	
area.junes_electronics	Components/FieldTracker.cs	5938	Junes, Electronics Department	Junes，電器賣場	Junes，电器卖场	
area.junes_west	Components/FieldTracker.cs	5939	Junes, West Side	Junes，西側	Junes，西侧	
area.junes_n	Components/FieldTracker.cs	5940	Junes, Area {0}	Junes，區域 {0}	Junes，区域 {0}	$"Junes, Area {minor}"
area.samegawa_plain	Components/FieldTracker.cs	5944	Samegawa Flood Plain	鮫川河堤	鲛川河堤	
area.samegawa_riverbank	Components/FieldTracker.cs	5945	Samegawa Riverbank	鮫川河岸	鲛川河岸	
area.samegawa_n	Components/FieldTracker.cs	5946	Samegawa Area {0}	鮫川，區域 {0}	鲛川，区域 {0}	$"Samegawa Area {minor}"
area.okina_city	Components/FieldTracker.cs	5955	Okina City	沖奈市	冲奈市	
area.shiroku_store	Components/FieldTracker.cs	5956	Shiroku Store	白鹿商店	白鹿商店	
area.daidara	Components/FieldTracker.cs	5957	Daidara Metalworks	大達金屬工房	大达金属工房	
area.hanamura	Components/FieldTracker.cs	5958	Hanamura Residence	花村家	花村家	
area.farm_n	Components/FieldTracker.cs	5959	Farm area {0}	農園，區域 {0}	农园，区域 {0}	$"Farm area {minor}"
area.ski_lodge	Components/FieldTracker.cs	5960	Ski Lodge	滑雪小屋	滑雪小屋	
area.snow_mountain	Components/FieldTracker.cs	5960	Snow Mountain	雪山	雪山	
area.unknown_dungeon	Components/FieldTracker.cs	5980;6021	???	???	???	
area.battle_floor	Components/FieldTracker.cs	6015	Battle (floor {0})	戰鬥（第 {0} 層）	战斗（第 {0} 层）	$"Battle (floor {minor})"
area.pair_n	Components/FieldTracker.cs	6021	Area {0}-{1}	區域 {0}-{1}	区域 {0}-{1}	$"Area {major}-{minor}"
area.yukiko_gate	Components/FieldTracker.cs;Components/Navigation/DungeonNav.cs	6011;293	Yukiko's Castle, Gate	雪子的城堡，大門	雪子的城堡，大门	
area.yukiko_2f	Components/FieldTracker.cs;Components/Navigation/DungeonNav.cs	6012;295	Yukiko's Castle 2F	雪子的城堡 2 樓	雪子的城堡 2 楼	
area.yukiko_1f	Components/FieldTracker.cs;Components/Navigation/DungeonNav.cs	6013;294	Yukiko's Castle 1F	雪子的城堡 1 樓	雪子的城堡 1 楼	
area.tv_entrance	Components/FieldTracker.cs	6014	Entrance	入口	入口	
floor.bath_3	Components/FieldTracker.cs	6032	Steamy Bathhouse, Bath number 3	蒸氣澡堂，3 號浴池	蒸气澡堂，3 号浴池	
floor.bath_7	Components/FieldTracker.cs	6033	Steamy Bathhouse, Bath number 7	蒸氣澡堂，7 號浴池	蒸气澡堂，7 号浴池	
floor.bathhouse_changing	Components/FieldTracker.cs	6039	Bathhouse, Changing Area	澡堂，更衣區	澡堂，更衣区	
floor.marukyu_seats	Components/FieldTracker.cs	6040	Marukyu Striptease Seats	丸久脫衣舞場，觀眾席	丸久脱衣舞场，观众席	
floor.void_quest_title	Components/FieldTracker.cs	6041	Void Quest Title Screen	虛空任務標題畫面	虚空任务标题画面	
floor.void_quest_endgame	Components/FieldTracker.cs	6043	Void Quest Endgame	虛空任務最終關	虚空任务最终关	
floor.secret_lab_entrance	Components/FieldTracker.cs	6045	Secret Laboratory Entrance	秘密實驗室入口	秘密实验室入口	
floor.heaven_gates	Components/FieldTracker.cs	6047	Heaven, Pearly Gates	天堂，珍珠之門	天堂，珍珠之门	
floor.desolate_bedroom	Components/FieldTracker.cs	6049	Desolate Bedroom	荒涼的臥室	荒凉的卧室	
floor.grave_hollow_memories	Components/FieldTracker.cs	6052	Grave of Hollow Memories	空洞記憶之墓	空洞记忆之墓	
floor.ashihara_nakatsu	Components/FieldTracker.cs	6054	Ashihara Nakatsu	葦原中津	苇原中津	
floor.twisted_shopping	Components/FieldTracker.cs	6060	Twisted Shopping District	扭曲的商店街	扭曲的商店街	
floor.former_konishi	Components/FieldTracker.cs	6061	Former Konishi Liquors	舊小西酒店	旧小西酒店	
dungeon.yukiko	Components/FieldTracker.cs	6087	Yukiko's Castle	雪子的城堡	雪子的城堡	
dungeon.bathhouse	Components/FieldTracker.cs	6087	Steamy Bathhouse	蒸氣澡堂	蒸气澡堂	
dungeon.marukyu	Components/FieldTracker.cs	6087	Marukyu Striptease	丸久脫衣舞場	丸久脱衣舞场	
dungeon.void_quest	Components/FieldTracker.cs	6087	Void Quest	虛空任務	虚空任务	
dungeon.secret_lab	Components/FieldTracker.cs	6088	Secret Laboratory	秘密實驗室	秘密实验室	
dungeon.heaven	Components/FieldTracker.cs	6088	Heaven	天堂	天堂	
dungeon.magatsu	Components/FieldTracker.cs	6088;5975	Magatsu Inaba	禍津稻羽	祸津稻羽	
dungeon.yomotsu	Components/FieldTracker.cs	6088	Yomotsu Hirasaka	黃泉比良坂	黄泉比良坂	
dungeon.hollow_forest	Components/FieldTracker.cs	6088	Hollow Forest	空洞之森	空洞之森	
floor.yukiko_nf	Components/FieldTracker.cs	6198	Yukiko's Castle {0}F	雪子的城堡{0}樓	雪子的城堡{0}层	$"Yukiko's Castle {floor}F"
floor.bath_n	Components/FieldTracker.cs	6199	Steamy Bathhouse, Bath number {0}	蒸氣澡堂，第{0}浴場	蒸气澡堂，第{0}浴场	$"Steamy Bathhouse, Bath number {floor}"
floor.marukyu_nf	Components/FieldTracker.cs	6200	Marukyu Striptease {0}F	丸久脫衣舞場{0}樓	丸久脱衣舞场{0}层	$"Marukyu Striptease {floor}F"
floor.void_chapter_n	Components/FieldTracker.cs	6201	Void Quest Chapter {0}	虛空任務第{0}章	虚空任务第{0}章	$"Void Quest Chapter {floor}"
floor.lab_bnf	Components/FieldTracker.cs	6202	Secret Laboratory B{0}F	秘密實驗室地下{0}樓	秘密实验室地下{0}层	$"Secret Laboratory B{floor}F"
floor.heaven_paradise_n	Components/FieldTracker.cs	6203	Heaven, Paradise number {0}	天堂，第{0}樂園	天堂，第{0}乐园	$"Heaven, Paradise number {floor}"
floor.mandala_n	Components/FieldTracker.cs	6210	Magatsu Mandala World {0}	禍津曼荼羅世界{0}	祸津曼荼罗世界{0}	$"Magatsu Mandala World {id - 122}"
floor.yomotsu_path_n	Components/FieldTracker.cs	6216	Yomotsu Hirasaka, Path {0}	黃泉比良坂，路徑{0}	黄泉比良坂，路径{0}	$"Yomotsu Hirasaka, Path {floor}"
floor.generic	Components/FieldTracker.cs	6208	{0}, floor {1}	{0}，{1}樓	{0}，{1}层	$"{DungeonDisplayNames[did - 1]}, floor {floor}"
floor.hf.parting	Components/FieldTracker.cs	6094	Memories of Parting	離別的記憶	离别的记忆	
floor.hf.pain	Components/FieldTracker.cs	6094	Memories of Pain	痛苦的記憶	痛苦的记忆	
floor.hf.grief	Components/FieldTracker.cs	6094	Memories of Grief	悲慟的記憶	悲恸的记忆	
floor.hf.sorrow	Components/FieldTracker.cs	6095	Memories of Sorrow	哀傷的記憶	哀伤的记忆	
floor.hf.love	Components/FieldTracker.cs	6095	Memories of Love	愛的記憶	爱的记忆	
floor.hf.suffering	Components/FieldTracker.cs	6095	Memories of Suffering	苦難的記憶	苦难的记忆	
floor.hf.anger	Components/FieldTracker.cs	6096	Memories of Anger	憤怒的記憶	愤怒的记忆	
floor.hf.loneliness	Components/FieldTracker.cs	6096	Memories of Loneliness	孤獨的記憶	孤独的记忆	
floor.hf.invitation	Components/FieldTracker.cs	6096	Memories of Invitation	邀約的記憶	邀约的记忆	
floor.hf.meeting	Components/FieldTracker.cs	6097	Memories of Meeting	相遇的記憶	相遇的记忆	
cursor.dungeon_only	Components/Navigation/DungeonCursor.cs	200	Cursor only works in dungeons.	游標只能在迷宮中使用。	光标只能在迷宫中使用。	
cursor.off	Components/Navigation/DungeonCursor.cs	205	Cursor off.	游標關閉。	光标关闭。	
cursor.not_on_map	Components/Navigation/DungeonCursor.cs	215	Your position isn't on the map yet.	你的位置還沒出現在地圖上。	你的位置还没出现在地图上。	
cursor.on	Components/Navigation/DungeonCursor.cs	233	Cursor on. You face {0}. {1}. {2}. {3}. {4}.	游標開啟。你面向{0}。{1}。{2}。{3}。{4}。	光标开启。你面向{0}。{1}。{2}。{3}。{4}。	$"Cursor on. You face {FacingWord()}. {ModeWord()}. {FrameWord()}. {ContentHere()}. {OpenDirections()}."
cursor.direction_unavailable	Components/Navigation/DungeonCursor.cs	333;424	Direction unavailable.	無法取得方向。	无法获取方向。	
cursor.edge_of_map	Components/Navigation/DungeonCursor.cs	339	Edge of map.	地圖邊緣。	地图边缘。	
cursor.wall	Components/Navigation/DungeonCursor.cs	348;392	Wall.	牆。	墙。	
cursor.unexplored_probe	Components/Navigation/DungeonCursor.cs	392	Unexplored.	未探索。	未探索。	
cursor.wall_or_unexplored	Components/Navigation/DungeonCursor.cs	392	Wall or unexplored.	牆或未探索。	墙或未探索。	
cursor.busy	Components/Navigation/DungeonCursor.cs	419;472	Busy.	忙碌中。	忙碌中。	
cursor.cant_step	Components/Navigation/DungeonCursor.cs	452	Can't step there.	走不到那裡。	走不到那里。	
cursor.blocked	Components/Navigation/DungeonCursor.cs	465	Blocked.	被擋住了。	被挡住了。	
cursor.walk_mode_full	Components/Navigation/DungeonCursor.cs	483	Walk mode. {0}. {1}.	行走模式。{0}。{1}。	行走模式。{0}。{1}。	$"Walk mode. {ContentHere()}. {OpenDirections()}."
cursor.look_mode_full	Components/Navigation/DungeonCursor.cs	488	Look mode. {0}.	查看模式。{0}。	查看模式。{0}。	$"Look mode. {ContentHere()}."
cursor.frame_change	Components/Navigation/DungeonCursor.cs	498	{0}. You face {1}. {2}.	{0}。你面向{1}。{2}。	{0}。你面向{1}。{2}。	$"{FrameWord()}. You face {FacingWord()}. {OpenDirections()}."
cursor.compass_mode	Components/Navigation/DungeonCursor.cs	546	Compass mode	羅盤模式	罗盘模式	
cursor.camera_mode	Components/Navigation/DungeonCursor.cs	546	Camera mode	鏡頭模式	镜头模式	
cursor.walk_mode	Components/Navigation/DungeonCursor.cs	547	Walk mode	行走模式	行走模式	
cursor.look_mode	Components/Navigation/DungeonCursor.cs	547	Look mode	查看模式	查看模式	
cursor.no_way_out	Components/Navigation/DungeonCursor.cs	527	No way out	無路可走	无路可走	
cursor.only_dir	Components/Navigation/DungeonCursor.cs	528	Only {0}	只有{0}	只有{0}	$"Only {parts[0]}"
cursor.open_dirs	Components/Navigation/DungeonCursor.cs	529	Open {0}	可走{0}	可走{0}	"Open " + NaturalJoin(parts)
cursor.join_and	Components/Navigation/DungeonCursor.cs	629	{0} and {1}	{0}和{1}	{0}和{1}	parts joined with " and "
cursor.unknown_direction	Components/Navigation/DungeonCursor.cs	555	an unknown direction	未知方向	未知方向	
cursor.here	Components/Navigation/DungeonCursor.cs;Components/Navigation/DungeonNav.cs;Components/Navigation/OverworldNav.cs	673;1906;958	here	這裡	这里	
cursor.floor	Components/Navigation/DungeonCursor.cs	656;657	Floor	地板	地板	
cursor.unexplored	Components/Navigation/DungeonCursor.cs	656	Unexplored	未探索	未探索	
cursor.facing_you	Components/Navigation/DungeonCursor.cs;Components/Navigation/DungeonNav.cs	650;1101	, facing you	，面向你	，面向你	
cursor.facing_away	Components/Navigation/DungeonCursor.cs;Components/Navigation/DungeonNav.cs	650;1101	, facing away	，背對你	，背对你	
dir.north	Components/Navigation/DungeonCursor.cs;Components/Navigation/DungeonNav.cs;Components/Navigation/OverworldNav.cs;Components/Navigation/NavigationAssist.cs	522;1907;959;799	north	北	北	
dir.south	Components/Navigation/DungeonCursor.cs;Components/Navigation/DungeonNav.cs;Components/Navigation/OverworldNav.cs;Components/Navigation/NavigationAssist.cs	524;1907;959;803	south	南	南	
dir.east	Components/Navigation/DungeonCursor.cs;Components/Navigation/DungeonNav.cs;Components/Navigation/OverworldNav.cs;Components/Navigation/NavigationAssist.cs	523;1908;960;801	east	東	东	
dir.west	Components/Navigation/DungeonCursor.cs;Components/Navigation/DungeonNav.cs;Components/Navigation/OverworldNav.cs;Components/Navigation/NavigationAssist.cs	525;1908;960;805	west	西	西	
dir.north_east	Components/Navigation/NavigationAssist.cs	800	north-east	東北	东北	
dir.south_east	Components/Navigation/NavigationAssist.cs	802	south-east	東南	东南	
dir.south_west	Components/Navigation/NavigationAssist.cs	804	south-west	西南	西南	
dir.north_west	Components/Navigation/NavigationAssist.cs	806	north-west	西北	西北	
dir.ahead	Components/Navigation/DungeonCursor.cs;Components/Navigation/AutoWalk/RouteSpeech.cs;Components/Navigation/MinimapTracker.cs	515;75;210	ahead	前方	前方	
dir.behind	Components/Navigation/DungeonCursor.cs;Components/Navigation/AutoWalk/RouteSpeech.cs	517;79	behind	後方	后方	
dir.left	Components/Navigation/DungeonCursor.cs;Components/Navigation/MinimapTracker.cs	518;212	left	左邊	左边	
dir.right	Components/Navigation/DungeonCursor.cs;Components/Navigation/MinimapTracker.cs	516;211	right	右邊	右边	
dir.back	Components/Navigation/MinimapTracker.cs	209	back	後方	后方	
dnav.cat.doors	Components/Navigation/DungeonNav.cs	90	Doors	門	门	
dnav.cat.all_doors	Components/Navigation/DungeonNav.cs	90	All doors	所有門	所有门	
dnav.cat.chests	Components/Navigation/DungeonNav.cs	90	Chests	寶箱	宝箱	
dnav.cat.shadows	Components/Navigation/DungeonNav.cs	91	Shadows	陰影	阴影	
dnav.cat.stairs	Components/Navigation/DungeonNav.cs	91	Stairs	樓梯	楼梯	
dnav.cat.interactables	Components/Navigation/DungeonNav.cs	92	Interactables	可互動物件	可互动物件	
dnav.cat.events	Components/Navigation/DungeonNav.cs	92	Events	事件	事件	
dnav.none.doors	Components/Navigation/DungeonNav.cs	552	Doors: none nearby.	門：附近沒有。	门：附近没有。	
dnav.none.all_doors	Components/Navigation/DungeonNav.cs	553	All doors: none on this floor.	所有門：這層樓沒有。	所有门：这层楼没有。	
dnav.none.chests	Components/Navigation/DungeonNav.cs	554	Chests: none nearby.	寶箱：附近沒有。	宝箱：附近没有。	
dnav.none.shadows	Components/Navigation/DungeonNav.cs	555	Shadows: none nearby.	陰影：附近沒有。	阴影：附近没有。	
dnav.none.stairs	Components/Navigation/DungeonNav.cs	556	Stairs: none found on this floor.	樓梯：這層樓沒找到。	楼梯：这层楼没找到。	
dnav.none.interactables	Components/Navigation/DungeonNav.cs	557	Interactables: none nearby.	可互動物件：附近沒有。	可互动物件：附近没有。	
dnav.none.events	Components/Navigation/DungeonNav.cs	558	Events: none on this floor.	事件：這層樓沒有。	事件：这层楼没有。	
dnav.none.generic	Components/Navigation/DungeonNav.cs	559	{0}: none.	{0}：沒有。	{0}：没有。	$"{name}: none."
dnav.none_nearby	Components/Navigation/DungeonNav.cs	633	{0}: none nearby.	{0}：附近沒有。	{0}：附近没有。	$"{CatName(cat)}: none nearby."
dnav.list_open	Components/Navigation/DungeonNav.cs	564	{0}: {1}. {2}.	{0}：{1}個。{2}。	{0}：{1}个。{2}。	$"{name}: {_entries.Count}. {_entries[0].Say}."
dnav.pick_category	Components/Navigation/DungeonNav.cs;Components/Navigation/OverworldNav.cs	624;923	Pick a category with minus or equals first.	請先用減號或等號選擇類別。	请先用减号或等号选择类别。	
dnav.pick_category_short	Components/Navigation/DungeonNav.cs	656;671	Pick a category first.	請先選擇類別。	请先选择类别。	
dnav.first	Components/Navigation/DungeonNav.cs;Components/Navigation/OverworldNav.cs	639;930	First.	第一個。	第一个。	
dnav.last	Components/Navigation/DungeonNav.cs;Components/Navigation/OverworldNav.cs	640;931	Last.	最後一個。	最后一个。	
dnav.entry_ordinal	Components/Navigation/DungeonNav.cs	646-648	{0} of {1}: {2}.	第{0}個，共{1}個：{2}。	第{0}个，共{1}个：{2}。	$"{_cursor + 1} of {_entries.Count}: {_entries[_cursor].Say}."
dnav.nothing_selected	Components/Navigation/DungeonNav.cs;Components/Navigation/OverworldNav.cs	660;942	Nothing selected.	尚未選擇。	尚未选择。	
dnav.no_shadow_position	Components/Navigation/DungeonNav.cs	687	No shadow position.	沒有陰影位置。	没有阴影位置。	
dnav.no_position_to_walk	Components/Navigation/DungeonNav.cs	708;714	No position to walk to.	沒有可前往的位置。	没有可前往的位置。	
dnav.mark_recorded	Components/Navigation/DungeonNav.cs	749	Recorded a mark on this floor.	已在這層樓記下標記。	已在这层楼记下标记。	
dnav.pick_cat_entry	Components/Navigation/DungeonNav.cs	759	Pick a category and an entry first.	請先選擇類別和項目。	请先选择类别和项目。	
dnav.already_event_mark	Components/Navigation/DungeonNav.cs	761	That is already an event mark.	那已經是事件標記了。	那已经是事件标记了。	
dnav.no_position_to_save	Components/Navigation/DungeonNav.cs	766	That entry has no position to save.	這個項目沒有可儲存的位置。	这个项目没有可保存的位置。	
dnav.added_event	Components/Navigation/DungeonNav.cs	774	Added {0} to events on this floor.	已把{0}加入這層樓的事件。	已把{0}加入这层楼的事件。	$"Added {e.Label} to events on this floor."
dnav.mark_removed	Components/Navigation/DungeonNav.cs	874	Removed the last mark.	已移除最後一個標記。	已移除最后一个标记。	
dnav.no_marks	Components/Navigation/DungeonNav.cs	875	No marks to remove.	沒有可移除的標記。	没有可移除的标记。	
dnav.stealth_unreachable	Components/Navigation/DungeonNav.cs	923	Can't reach the stealth flag.	無法抵達隱身旗標。	无法抵达隐身旗标。	
dnav.invisibility_on	Components/Navigation/DungeonNav.cs	929	Invisibility on. Shadows cannot notice you. It ends if a battle starts or you change floors.	隱身開啟。陰影不會發現你。開戰或換樓層時會解除。	隐身开启。阴影不会发现你。开战或换楼层时会解除。	
dnav.invisibility_off	Components/Navigation/DungeonNav.cs	930	Invisibility off.	隱身關閉。	隐身关闭。	
dnav.invisibility_label	Components/Navigation/DungeonNav.cs	910	Make yourself invisible	讓自己隱身	让自己隐身	
dnav.currently_on	Components/Navigation/DungeonNav.cs	940	, currently on	，目前開啟	，当前开启	
dnav.currently_off	Components/Navigation/DungeonNav.cs	940	, currently off	，目前關閉	，当前关闭	
dnav.mark	Components/Navigation/DungeonNav.cs	165;746	Mark	標記	标记	
dnav.unmapped_marker	Components/Navigation/DungeonNav.cs	481	Unmapped marker	地圖外記號	地图外记号	
dnav.marker	Components/Navigation/DungeonNav.cs	481	Marker	記號	记号	
dnav.dropped_item	Components/Navigation/DungeonNav.cs	948	Dropped item	掉落物	掉落物	
dnav.entry_steps	Components/Navigation/DungeonNav.cs	975	{0}{1}, {2} steps	{0}{1}，{2}步	{0}{1}，{2}步	$"{m.Label}{mdir}, {steps} step{(steps == 1 ? "" : "s")}"
dnav.dungeon_entrance	Components/Navigation/DungeonNav.cs	1003	Dungeon entrance	迷宮入口	迷宫入口	
dnav.exit	Components/Navigation/DungeonNav.cs	1003	Exit	出口	出口	
dnav.stairs_n_steps	Components/Navigation/DungeonNav.cs	1049	Stairs {0}{1}, {2} steps	樓梯{0}{1}，{2}步	楼梯{0}{1}，{2}步	$"Stairs {i + 1}{dir}, {steps} steps"
dnav.stairs_steps	Components/Navigation/DungeonNav.cs	1049	Stairs{0}, {1} steps	樓梯{0}，{1}步	楼梯{0}，{1}步	$"Stairs{dir}, {steps} steps"
dnav.chest_steps	Components/Navigation/DungeonNav.cs	1072	Chest {0}, {1} steps	寶箱{0}，{1}步	宝箱{0}，{1}步	$"Chest {dir}, {steps} step{(steps == 1 ? "" : "s")}"
dnav.chest	Components/Navigation/DungeonNav.cs;Components/Navigation/DungeonCursor.cs	1073;654	Chest	寶箱	宝箱	
dnav.door	Components/Navigation/DungeonNav.cs;Components/Navigation/DungeonCursor.cs	884;655	Door	門	门	
dnav.locked_door	Components/Navigation/DungeonNav.cs	1126	Locked door	上鎖的門	上锁的门	
dnav.open_door	Components/Navigation/DungeonNav.cs	1127	Open door	開著的門	开着的门	
dnav.shadow	Components/Navigation/DungeonNav.cs	1446	Shadow	陰影	阴影	
dnav.strong_shadow	Components/Navigation/DungeonNav.cs	1444	Strong shadow	強力陰影	强力阴影	
